Date,Series_title_1,Data_value
2024-09-01,"Beef steak - porterhouse/sirloin, 1kg",36.65
2024-03-01,"Beef - mince, 1kg",17.99
2024-04-01,"Beef - mince, 1kg",18.12
2024-05-01,"Beef - mince, 1kg",18.52
2024-06-01,"Beef - mince, 1kg",18.8
2024-07-01,"Beef - mince, 1kg",18.41
2024-08-01,"Beef - mince, 1kg",19.13
2024-09-01,"Beef - mince, 1kg",19.64
2024-03-01,"Pork - loin chops, 1kg",16.59
2024-04-01,"Pork - loin chops, 1kg",17.31
2024-05-01,"Pork - loin chops, 1kg",17.29
2024-06-01,"Pork - loin chops, 1kg",17.07
2024-07-01,"Pork - loin chops, 1kg",16.84
2024-08-01,"Pork - loin chops, 1kg",16.39
2024-09-01,"Pork - loin chops, 1kg",17.14
2024-03-01,"Lamb - chops, 1kg",17.99
2024-04-01,"Lamb - chops, 1kg",18.1
2024-05-01,"Lamb - chops, 1kg",17.28
2024-06-01,"Lamb - chops, 1kg",18.17
2024-07-01,"Lamb - chops, 1kg",18.23
2024-08-01,"Lamb - chops, 1kg",18.13
2024-09-01,"Lamb - chops, 1kg",18.31
2024-03-01,"Sausages, 1kg",12.19
2024-04-01,"Sausages, 1kg",12.22
2024-05-01,"Sausages, 1kg",12.22
2024-06-01,"Sausages, 1kg",12.04
2024-07-01,"Sausages, 1kg",12.12
2024-08-01,"Sausages, 1kg",12.24
2024-09-01,"Sausages, 1kg",12.5
2024-03-01,"Tuna - canned (supermarket only), 185g",3.43
2024-04-01,"Tuna - canned (supermarket only), 185g",3.52
2024-05-01,"Tuna - canned (supermarket only), 185g",3.4
2024-06-01,"Tuna - canned (supermarket only), 185g",3.4
2024-07-01,"Tuna - canned (supermarket only), 185g",3.34
2024-08-01,"Tuna - canned (supermarket only), 185g",3.39
2024-09-01,"Tuna - canned (supermarket only), 185g",3.28
2024-03-01,"Biscuits - chocolate, 200g",3.28
2024-04-01,"Biscuits - chocolate, 200g",3.36
2024-05-01,"Biscuits - chocolate, 200g",3.29
2024-06-01,"Biscuits - chocolate, 200g",3.26
2024-07-01,"Biscuits - chocolate, 200g",3.24
2024-08-01,"Biscuits - chocolate, 200g",3.6
2024-09-01,"Biscuits - chocolate, 200g",3.78
2024-03-01,"Breakfast biscuits, 1kg",6.25
2024-04-01,"Breakfast biscuits, 1kg",6.29
2024-05-01,"Breakfast biscuits, 1kg",6.21
2024-06-01,"Breakfast biscuits, 1kg",6.48
2024-07-01,"Breakfast biscuits, 1kg",6.5
2024-08-01,"Breakfast biscuits, 1kg",6.44
2024-09-01,"Breakfast biscuits, 1kg",6.38
2024-03-01,"Flour - white (supermarket only), 1.5kg",2.33
2024-04-01,"Flour - white (supermarket only), 1.5kg",2.34
2024-05-01,"Flour - white (supermarket only), 1.5kg",2.33
2024-06-01,"Flour - white (supermarket only), 1.5kg",2.29
2024-07-01,"Flour - white (supermarket only), 1.5kg",2.28
2024-08-01,"Flour - white (supermarket only), 1.5kg",2.23
2024-09-01,"Flour - white (supermarket only), 1.5kg",2.13
2024-03-01,"Rice - long grain, white (supermarket only), 1kg",3.2
2024-04-01,"Rice - long grain, white (supermarket only), 1kg",3.21
2024-05-01,"Rice - long grain, white (supermarket only), 1kg",3.13
2024-06-01,"Rice - long grain, white (supermarket only), 1kg",3.14
2024-07-01,"Rice - long grain, white (supermarket only), 1kg",3.24
2024-08-01,"Rice - long grain, white (supermarket only), 1kg",3.22
2024-09-01,"Rice - long grain, white (supermarket only), 1kg",3.26
2024-03-01,"Milk - standard homogenised, 2 litres",3.94
2024-04-01,"Milk - standard homogenised, 2 litres",3.97
2024-05-01,"Milk - standard homogenised, 2 litres",3.97
2024-06-01,"Milk - standard homogenised, 2 litres",4.0
2024-07-01,"Milk - standard homogenised, 2 litres",4.05
2024-08-01,"Milk - standard homogenised, 2 litres",4.06
2024-09-01,"Milk - standard homogenised, 2 litres",4.1
2024-03-01,"Yoghurt - flavoured, 150g pottle (supermarket only), pk of 6",7.65
2024-04-01,"Yoghurt - flavoured, 150g pottle (supermarket only), pk of 6",7.27
2024-05-01,"Yoghurt - flavoured, 150g pottle (supermarket only), pk of 6",6.97
2024-06-01,"Yoghurt - flavoured, 150g pottle (supermarket only), pk of 6",7.29
2024-07-01,"Yoghurt - flavoured, 150g pottle (supermarket only), pk of 6",7.18
2024-08-01,"Yoghurt - flavoured, 150g pottle (supermarket only), pk of 6",7.31
2024-09-01,"Yoghurt - flavoured, 150g pottle (supermarket only), pk of 6",7.65
2024-03-01,"Cheese - mild cheddar (supermarket only), 1kg",10.02
